name,library_system,latitude,longitude,address,city,zip_code,county,phone
Banning Library District,Banning Library District,33.9291,-116.8771,21 W. Nicolet St.,Banning,92220,Riverside,(951) 849-3192
Brawley Public Library,Brawley Public Library,32.97843,-115.53481,400 Main St.,Brawley,92227,Imperial,(760) 344-1891
Del Rio Branch,Brawley Public Library,32.97574,-115.51728,1501 I St.,Brawley,92227,Imperial,(760) 344-1891
Camarena Memorial Public Library,Camarena Memorial Public Library,32.67527,-115.48765,850 Encinas Avenue,Calexico,92231,Imperial,(760) 768-2170
Carnegie Technology Center Branch,Camarena Memorial Public Library,32.66957,-115.49265,420 Heber Ave.,Calexico,92231,Imperial,(760) 357-5525
Dove Library,Carlsbad City Library,33.10543,-117.26986,1775 Dove Lane,Carlsbad,92011,San Diego,(760) 602-2038
Georgina Cole Library,Carlsbad City Library,33.16495,-117.34051,1250 Carlsbad Village Drive,Carlsbad,92008,San Diego,(760) 434-2870
Carlsbad City Library Learning Center,Carlsbad City Library,33.15934,-117.33858,3368 Eureka Place,Carlsbad,92008,San Diego,(760) 931-4500
Civic Center Branch,Chula Vista Public Library,32.64094,-117.08336,365 F St.,Chula Vista,91910,San Diego,(619) 691-5069
Otay Ranch Library,Chula Vista Public Library,32.62384,-116.96698,2015 Birch Rd,Chula Vista,91915,San Diego,(619) 397-5740
South Chula Vista Library,Chula Vista Public Library,32.60191,-117.06855,389 Orange Avenue,Chula Vista,91911,San Diego,(619) 585-5755
Coronado Public Library,Coronado Public Library,32.6912,-117.17767,640 Orange Ave.,Coronado,92118,San Diego,(619) 522-7390
Community Center Branch Library,El Centro Public Library,32.79031,-115.54382,375 S. First St.,El Centro,92243,Imperial,(760) 336-8977
El Centro Public Library,El Centro Public Library,32.80247,-115.57161,1140 N. Imperial Ave.,El Centro,92243,Imperial,(760) 337-4565
Escondido Pioneer Room and Computer Center,Escondido Public Library,33.1206,-117.07925,247 South Kalmia Street,Escondido,92025,San Diego,(760) 839-4315
Escondido Public Library,Escondido Public Library,33.12082,-117.07987,239 S. Kalmia St.,Escondido,92025,San Diego,(760) 839-4684
Hemet Public Library,Hemet Public Library,33.74958,-116.96974,300 E. Latham Ave,Hemet,92543,Riverside,(951) 765-2440
Calipatria Branch Library,Imperial County Library,33.12545,-115.51724,105 S. Lake,Calipatria,92233,Imperial,(760) 348-2630
Heber Branch Library,Imperial County Library,32.73356,-115.5297,1132 Heber Ave.,Heber,92249,Imperial,(442) 265-7131
Holtville Branch Library,Imperial County Library,32.81307,-115.37984,101 E. Sixth,Holtville,92250,Imperial,(760) 356-2385
Salton City Library,Imperial County Library,33.27718,-115.96427,1209 Van Buren Road,Salton City,92275,Imperial,(760) 604-6956
Imperial Public Library,Imperial Public Library,32.84849,-115.56869,200 W. 9Th St.,Imperial,92251,Imperial,(760) 355-1332
Murrieta Public Library,Murrieta Public Library,33.55772,-117.21088,8 Town Square,Murrieta,92562,Riverside,(951) 304-2665
National City Public Library,National City Public Library,32.6706,-117.10414,1401 National City Blvd.,National City,91950,San Diego,(619) 470-5800
Oceanside Reads Literacy Center,Oceanside Public Library,33.19867,-117.37877,804 Pier View Way #101,Oceanside,92054,San Diego,(760) 435-5680
Mission Branch Library,Oceanside Public Library,33.22597,-117.3285,3861-B Mission Ave.,Oceanside,92054,San Diego,(760) 435-5630
Oceanside Public Library,Oceanside Public Library,33.19753,-117.3805,330 N. Coast Hwy,Oceanside,92054,San Diego,(760) 435-5600
Palm Springs Public Library,Palm Springs Public Library,33.81872,-116.52753,300 S. Sunrise Way,Palm Springs,92262,Riverside,(760) 322-7323
Welwood Murray Memorial Library,Palm Springs Public Library,33.82293,-116.54659,100 S. Palm Canyon Dr,Palm Springs,92262,Riverside,(760) 323-8296
Palo Verde Valley Library District,Palo Verde Valley Library District,33.61785,-114.59772,125 W. Chanslorway,Blythe,92225,Riverside,(760) 922-5371
Rancho Mirage Public Library,Rancho Mirage Public Library,33.74848,-116.42128,71-100 Highway 111,Rancho Mirage,92270,Riverside,(760) 341-7323
Anza Valley Community Library,Riverside County Library System,33.57024,-116.65979,57430 Mitchell Rd,Anza,92539,Riverside,(951) 763-4216
Cabazon Library,Riverside County Library System,33.91042,-116.78098,50425 Carmen Ave,Cabazon,92230,Riverside,(951) 849-8234
Calimesa Library,Riverside County Library System,34.00181,-117.06169,974 Calimesa Blvd,Calimesa,92320,Riverside,(909) 795-9807
Canyon Lake Branch Library,Riverside County Library System,33.67256,-117.25148,31516 Railroad Canyon Rd.,Canyon Lake,92587,Riverside,(951) 244-9181
Cathedral City Branch Library,Riverside County Library System,33.80426,-116.45729,33-520 Date Palm Dr.,Cathedral City,92234,Riverside,(760) 328-4262
Coachella Branch Library,Riverside County Library System,33.67869,-116.17622,1500 Sixth St.,Coachella,92236,Riverside,(760) 398-5148
Desert Hot Springs Branch Library,Riverside County Library System,33.96312,-116.51071,14380 Palm Dr.,Desert Hot Springs,92240,Riverside,(760) 329-5926
Eastvale Community Library,Riverside County Library System,33.95306,-117.56859,7447 Scholar Way,Eastvale,92880,Riverside,(951) 273-1520
El Cerrito Public Library,Riverside County Library System,33.83545,-117.52659,7581 Rudell Road,Corona,92881,Riverside,(951) 270-5012
French Valley Library,Riverside County Library System,33.60863,-117.10909,31526 Skyview Road,Winchester,92596,Riverside,(951) 926-6636
Glen Avon Branch Library,Riverside County Library System,34.0038,-117.48454,9244 Galena,Riverside,92509,Riverside,(951) 685-8121
Grace Mellman Library,Riverside County Library System,33.52667,-117.16062,41000 County Center,Temecula,92591,Riverside,(951) 296-3893
Highgrove Branch Library,Riverside County Library System,34.01541,-117.32322,530 W Center St,Riverside,92507,Riverside,(951) 682-1507
Home Gardens Library,Riverside County Library System,33.87508,-117.52541,3785 Neece Street,Corona,92879,Riverside,(951) 279-2148
Idyllwild Branch Library,Riverside County Library System,33.74369,-116.71378,54401 Village Center Dr,Idyllwild,92549,Riverside,(951) 659-2300
Max T. Mccandless Branch Library Indio,Riverside County Library System,33.71899,-116.21874,200 Civic Center Mall,Indio,92201,Riverside,(760) 347-2383
La Quinta Branch Library,Riverside County Library System,33.6781,-116.2992,78-225 Calle Tampico,La Quinta,92253,Riverside,(760) 564-4767
Altha Merrifield - Lake Elsinore Branch Library,Riverside County Library System,33.66957,-117.33418,600 W. Graham,Lake Elsinore,92530,Riverside,(951) 674-4517
Lake Tamarisk Library,Riverside County Library System,33.738,-115.39228,43880 Lake Tamarisk Dr.,Desert Center,92239,Riverside,(760) 227-3273
Vick Knight Community Library,Riverside County Library System,33.67012,-117.3806,32593 Riverside Dr,Lake Elsinore,92530,Riverside,(951) 678-7083
Robidoux Branch Library,Riverside County Library System,33.99977,-117.41457,5840 Mission Blvd,Riverside,92509,Riverside,(951) 682-5485
Mead Valley Public Library,Riverside County Library System,33.83396,-117.28676,21580 Oakwood Street,Perris,92570,Riverside,(951) 943-4727
Mecca-North Shore Branch Library,Riverside County Library System,33.5696,-116.07394,91260 Avenue 66,Mecca,92254,Riverside,(760) 396-2363
Menifee Library,Riverside County Library System,33.67582,-117.15935,28798 La Piedra Rd,Menifee,92584,Riverside,(951) 679-2527
