name,library_system,latitude,longitude,address,city,zip_code,county,phone
Alameda Free Library,Alameda Free Library,37.76681,-122.24243,1550 Oak St,Alameda,94501,Alameda,(510) 747-7747
Bay Farm Island Branch,Alameda Free Library,37.73696,-122.24155,3221 Mecartney Rd.,Alameda,94502,Alameda,(510) 747-7787
West End Branch,Alameda Free Library,37.7734,-122.27366,788 Santa Clara Ave.,Alameda,94501,Alameda,(510) 747-7767
Belvedere-Tiburon Library,Belvedere-Tiburon Library,37.87709,-122.46145,1501 Tiburon Blvd,Tiburon,94920,Marin,(415) 789-2665
Benicia Public Library,Benicia Public Library,38.0534,-122.15447,150 E. L St.,Benicia,94510,Solano,(707) 746-4343
Berkeley Public Library - Central,Berkeley Public Library,37.8682,-122.26849,2090 Kittredge St.,Berkeley,94704,Alameda,(510) 981-6100
Claremont Branch Library,Berkeley Public Library,37.85663,-122.25436,2940 Benvenue Ave.,Berkeley,94705,Alameda,(510) 981-6280
North Branch Library,Berkeley Public Library,37.88545,-122.27545,1170 The Alameda,Berkeley,94707,Alameda,(510) 981-6250
South Branch Library,Berkeley Public Library,37.8564,-122.27093,1901 Russell St.,Berkeley,94703,Alameda,(510) 981-6260
West Branch Library,Berkeley Public Library,37.86956,-122.29091,1125 University Ave.,Berkeley,94702,Alameda,(510) 981-6270
Antioch Library,Contra Costa County Library,38.00471,-121.81262,501 W. 18Th Street,Antioch,94509,Contra Costa,(925) 757-9224
Bay Point Library,Contra Costa County Library,38.03363,-121.96715,205 Pacifica Avenue,Bay Point,94565,Contra Costa,(925) 458-9597
Brentwood Library,Contra Costa County Library,37.93361,-121.69258,104 Oak Street,Brentwood,94513,Contra Costa,(925) 516-5290
Clayton Community Library,Contra Costa County Library,37.94256,-121.93531,6125 Clayton Road,Clayton,94517,Contra Costa,(925) 673-0659
Concord Library,Contra Costa County Library,37.98159,-122.02519,2900 Salvio Street,Concord,94519,Contra Costa,(925) 646-5455
Crockett Library,Contra Costa County Library,38.05542,-122.22074,991 Loring Avenue,Crockett,94525,Contra Costa,(510) 787-2345
Danville Library,Contra Costa County Library,37.82086,-121.99561,400 Front Street,Danville,94526,Contra Costa,(925) 837-4889
Dougherty Station Library,Contra Costa County Library,37.75391,-121.90973,17017 Bollinger Canyon Rd.,San Ramon,94582,Contra Costa,(925) 973-3380
El Cerrito Library,Contra Costa County Library,37.90841,-122.30398,6510 Stockton Ave.,El Cerrito,94530,Contra Costa,(510) 526-7512
El Sobrante Library,Contra Costa County Library,37.9674,-122.30964,4191 Appian Way,El Sobrante,94803,Contra Costa,(510) 374-3991
Hercules Library,Contra Costa County Library,38.00957,-122.26517,109 Civic Dr.,Hercules,94547,Contra Costa,(510) 245-2420
Kensington Library,Contra Costa County Library,37.91298,-122.28103,61 Arlington Ave.,Kensington,94707,Contra Costa,(510) 524-3043
Lafayette Library,Contra Costa County Library,37.89226,-122.11602,3491 Mt. Diablo Blvd.,Lafayette,94549,Contra Costa,(925) 385-2280
Martinez Library,Contra Costa County Library,38.01795,-122.13418,740 Court St.,Martinez,94553,Contra Costa,(925) 646-2898
Moraga Library,Contra Costa County Library,37.84135,-122.11014,1500 St. Mary'S Rd.,Moraga,94556,Contra Costa,(925) 376-6852
Oakley Library,Contra Costa County Library,37.97065,-121.71803,1050 Neroly Road,Oakley,94561,Contra Costa,(925) 625-2400
Orinda Library,Contra Costa County Library,37.88253,-122.18746,26 Orinda Way,Orinda,94563,Contra Costa,(925) 254-2184
Pinole Library,Contra Costa County Library,37.99242,-122.28499,2935 Pinole Valley Rd.,Pinole,94564,Contra Costa,(510) 758-2741
Pittsburg Library,Contra Costa County Library,38.01874,-121.8909,80 Power Ave.,Pittsburg,94565,Contra Costa,(925) 427-8390
Pleasant Hill Library,Contra Costa County Library,37.93486,-122.06839,100 Gregory Lane,Pleasant Hill,94523,Contra Costa,(925) 646-6434
Prewett Library,Contra Costa County Library,37.96627,-121.77448,4703 Lone Tree Way,Antioch,94531,Contra Costa,(925) 776-3060
Rodeo Library,Contra Costa County Library,38.03525,-122.26842,220 Pacific Ave.,Rodeo,94572,Contra Costa,(510) 799-2606
San Pablo Library,Contra Costa County Library,37.95788,-122.33993,13751 San Pablo Ave.,San Pablo,94806,Contra Costa,(510) 374-3998
San Ramon Library,Contra Costa County Library,37.76433,-121.95327,100 Montgomery St.,San Ramon,94583,Contra Costa,(925) 973-2850
Walnut Creek Library,Contra Costa County Library,37.90132,-122.06026,1644 N. Broadway,Walnut Creek,94596,Contra Costa,(925) 977-3340
Ygnacio Valley Library,Contra Costa County Library,37.92408,-122.01262,2661 Oak Grove Rd.,Walnut Creek,94598,Contra Costa,(925) 938-1481
Bayshore Library,Daly City Public Library,37.7016,-122.41897,460 Martin St.,Daly City,94014,San Mateo,(650) 991-8074
John D. Daly Library,Daly City Public Library,37.70202,-122.46261,134 Hillside Blvd,Daly City,94014,San Mateo,(650) 991-8073
Serramonte Main Library,Daly City Public Library,37.66304,-122.47039,40 Wembley Drive,Daly City,94015,San Mateo,(650) 991-8023
Westlake Library,Daly City Public Library,37.69722,-122.4854,275 Southgate Ave.,Daly City,94015,San Mateo,(650) 991-8071
Lake County Library,Lake County Library,39.05148,-122.91744,1425 N. High,Lakeport,95453,Lake,(707) 263-8817
Middletown Library,Lake County Library,38.74998,-122.6152,21256 Washington Street,Middletown,95461,Lake,(707) 987-3674
Redbud Library,Lake County Library,38.96501,-122.63419,14785 Burns Valley Rd.,Clearlake,95422,Lake,(707) 994-5115
Upper Lake Library,Lake County Library,39.16606,-122.91015,310 Second St.,Upper Lake,95485,Lake,(707) 275-2049
Larkspur Public Library,Larkspur Public Library,37.9343,-122.53531,400 Magnolia Ave,Larkspur,94939,Marin,(415) 927-5005
Bolinas Library,Marin County Free Library,37.90951,-122.68579,16 Wharf Rd.,Bolinas,94924,Marin,(415) 868-1171
Civic Center Library,Marin County Free Library,37.99793,-122.53066,"3501 Civic Center Dr, #427",San Rafael,94903,Marin,(415) 473-6057
Corte Madera Library,Marin County Free Library,37.92414,-122.51811,707 Meadowsweet Drive,Corte Madera,94925,Marin,(415) 924-3515
Fairfax Library,Marin County Free Library,37.99016,-122.59272,2097 Sir Francis Drake Blvd,Fairfax,94930,Marin,(415) 453-8151
Inverness Library,Marin County Free Library,38.09727,-122.85331,15 Park Ave.,Inverness,94937,Marin,(415) 669-1288
Marin City Library,Marin County Free Library,37.87322,-122.51157,164 Donahue St.,Marin City,94965,Marin,(415) 332-6158
Novato Library,Marin County Free Library,38.1072,-122.58009,1720 Novato Blvd.,Novato,94947,Marin,(415) 473-2050
Point Reyes Station Library,Marin County Free Library,38.06961,-122.80656,11431 State Route 1,Point Reyes Station,94956,Marin,(415) 663-8375
South Novato Library,Marin County Free Library,38.05734,-122.52552,931 C St.,Novato,94949,Marin,(415) 506-3165
Stinson Beach Library,Marin County Free Library,37.89839,-122.6404,3521 Shoreline Hwy,Stinson Beach,94970,Marin,(415) 868-0252
Mill Valley Public Library,Mill Valley Public Library,37.90597,-122.55413,375 Throckmorton Ave.,Mill Valley,94941,Marin,(415) 389-4292
American Canyon,Napa County Library,38.17558,-122.25423,"3421 Broadway/Hwy 29, Ste. E-3",American Canyon,94503,Napa,(707) 644-1136
Calistoga Public Library,Napa County Library,38.57612,-122.57994,1108 Myrtle St.,Calistoga,94515,Napa,(707) 942-4833
Napa Main Library,Napa County Library,38.29554,-122.28373,580 Coombs St.,Napa,94559,Napa,(707) 253-4241
Yountville Library,Napa County Library,38.40202,-122.3604,6516 Washington Street,Yountville,94599,Napa,(707) 944-1888
81St Avenue Branch Library,Oakland Public Library,37.7534,-122.18569,1021 81St Avenue,Oakland,94621,Alameda,(510) 615-5812
African American Museum & Library at Oakland,Oakland Public Library,37.80612,-122.27633,659 14Th St.,Oakland,94612,Alameda,(510) 637-0200
Asian Branch Library,Oakland Public Library,37.80045,-122.2717,"388 9Th St., Suite 190",Oakland,94607,Alameda,(510) 238-3400
Brookfield Branch Library,Oakland Public Library,37.73734,-122.18857,9255 Edes Ave.,Oakland,94603,Alameda,(510) 615-5725
Cesar E. Chavez Branch Library,Oakland Public Library,37.77585,-122.22479,3301 E. 12Th Street,Oakland,94601,Alameda,(510) 535-5620
Dimond Branch Library,Oakland Public Library,37.80146,-122.21604,3565 Fruitvale Ave.,Oakland,94602,Alameda,(510) 482-7844
Eastmont Branch Library,Oakland Public Library,37.76813,-122.17615,7200 Bancroft Ave. Suite 211,Oakland,94605,Alameda,(510) 615-5726
Elmhurst Branch Library,Oakland Public Library,37.75157,-122.17492,1427 88Th Ave.,Oakland,94621,Alameda,(510) 615-5727
Golden Gate Branch Library,Oakland Public Library,37.83919,-122.2822,5606 San Pablo Ave.,Oakland,94608,Alameda,(510) 597-5023
Lakeview Branch Library,Oakland Public Library,37.8092,-122.24895,550 El Embarcadero,Oakland,94610,Alameda,(510) 238-7344
Martin Luther King Jr. Branch Library,Oakland Public Library,37.76061,-122.19079,6833 International Blvd.,Oakland,94621,Alameda,(510) 615-5728
Melrose Branch Library,Oakland Public Library,37.77242,-122.20755,4805 Foothill Blvd.,Oakland,94601,Alameda,(510) 535-5623
Montclair Branch Library,Oakland Public Library,37.83198,-122.21411,1687 Mountain Blvd.,Oakland,94611,Alameda,(510) 482-7810
Oakland Main Library,Oakland Public Library,37.80098,-122.26361,125 14Th St.,Oakland,94612,Alameda,(510) 238-3134
Piedmont Avenue Branch Library,Oakland Public Library,37.82784,-122.24815,80 Echo Avenue,Oakland,94611,Alameda,(510) 597-5011
Rockridge Branch Library,Oakland Public Library,37.83991,-122.25108,5366 College Ave.,Oakland,94618,Alameda,(510) 597-5017
Temescal Branch Library,Oakland Public Library,37.8382,-122.26251,5205 Telegraph Ave.,Oakland,94609,Alameda,(510) 597-5049
West Oakland Branch Library,Oakland Public Library,37.81293,-122.28529,1801 Adeline St.,Oakland,94607,Alameda,(510) 238-7352
Bayview Branch Library,Richmond Public Library,37.91519,-122.32382,5100 Hartnett Avenue,Richmond,94804,Contra Costa,(510) 620-6566
Richmond Public Library,Richmond Public Library,37.93595,-122.34396,325 Civic Center Plaza,Richmond,94804,Contra Costa,(510) 620-6555
West Side Branch Library,Richmond Public Library,37.92729,-122.38433,135 Washington Avenue,Richmond,94801,Contra Costa,(510) 620-6567
San Anselmo Public Library,San Anselmo Public Library,37.97446,-122.56299,110 Tunstead Ave.,San Anselmo,94960,Marin,(415) 258-4656
Anza Branch Library,San Francisco Public Library,37.7786,-122.49727,550 37Th Ave.,San Francisco,94121,San Francisco,(415) 355-5717
Bayview Linda Brooks-Burton Branch Library,San Francisco Public Library,37.73255,-122.3912,5075 Third St.,San Francisco,94124,San Francisco,(415) 355-5757
Bernal Heights Branch Library,San Francisco Public Library,37.73886,-122.41613,500 Cortland Ave.,San Francisco,94110,San Francisco,(415) 335-2810
Chinatown - Him Mark Lai Branch Library,San Francisco Public Library,37.79521,-122.41023,1135 Powell St.,San Francisco,94108,San Francisco,(415) 355-2888
Eureka Valley - Harvey Milk Memorial Branch Library,San Francisco Public Library,37.75614,-122.43257,1 Jose Saria Ct.,San Francisco,94114,San Francisco,(415) 355-5616
Excelsior Branch Library,San Francisco Public Library,37.72713,-122.43335,4400 Mission St.,San Francisco,94112,San Francisco,(415) 355-2868
Glen Park Branch Library,San Francisco Public Library,37.73396,-122.43369,2825 Diamond St.,San Francisco,94131,San Francisco,(415) 355-2858
Golden Gate Valley Branch Library,San Francisco Public Library,37.79681,-122.42905,1801 Green St.,San Francisco,94123,San Francisco,(415) 355-5666
Ingleside Branch Library,San Francisco Public Library,37.72415,-122.45626,1298 Ocean Ave.,San Francisco,94112,San Francisco,(415) 355-2898
Marina Branch Library,San Francisco Public Library,37.80132,-122.43415,1890 Chestnut St.,San Francisco,94123,San Francisco,(415) 355-2823
Merced Branch Library,San Francisco Public Library,37.72671,-122.47448,155 Winston Dr.,San Francisco,94132,San Francisco,(415) 355-2825
Mission Branch Library,San Francisco Public Library,37.75197,-122.41987,1234 Valencia Street,San Francisco,94110,San Francisco,(415) 355-2800
Mission Bay Branch Library,San Francisco Public Library,37.77543,-122.39312,960 4Th St.,San Francisco,94158,San Francisco,(415) 355-2838
Noe Valley - Sally Brunn Branch Library,San Francisco Public Library,37.75027,-122.43509,451 Jersey St.,San Francisco,94114,San Francisco,(415) 355-5707
North Beach Branch Library,San Francisco Public Library,37.80258,-122.41327,850 Columbus Ave.,San Francisco,94133,San Francisco,(415) 355-5626
Ocean View Branch Library,San Francisco Public Library,37.71415,-122.46599,345 Randolph St.,San Francisco,94132,San Francisco,(415) 355-5615
Ortega Branch Library,San Francisco Public Library,37.7512,-122.4981,3223 Ortega St.,San Francisco,94122,San Francisco,(415) 355-5700
Park Branch Library,San Francisco Public Library,37.77016,-122.45101,1833 Page St.,San Francisco,94117,San Francisco,(415) 355-5656
Parkside Branch Library,San Francisco Public Library,37.74318,-122.47941,1200 Taraval St.,San Francisco,94116,San Francisco,(415) 355-5770
Portola Branch Library,San Francisco Public Library,37.72708,-122.40633,380 Bacon St.,San Francisco,94134,San Francisco,(415) 355-5660
Potrero Branch Library,San Francisco Public Library,37.76014,-122.39766,1616 20Th St.,San Francisco,94107,San Francisco,(415) 355-2822
Presidio Branch Library,San Francisco Public Library,37.78889,-122.44487,3150 Sacramento St.,San Francisco,94115,San Francisco,(415) 355-2880
Richmond - Sen. Milton Marks Branch Library,San Francisco Public Library,37.78184,-122.46817,351 9Th Ave.,San Francisco,94118,San Francisco,(415) 355-5600
San Francisco Main Library,San Francisco Public Library,37.77916,-122.41581,100 Larkin St.,San Francisco,94102,San Francisco,(415) 557-4400
Sunset Branch Library,San Francisco Public Library,37.76336,-122.47629,1305 18Th Ave.,San Francisco,94122,San Francisco,(415) 355-2808
Visitacion Valley Branch Library,San Francisco Public Library,37.71243,-122.40792,201 Leland Ave.,San Francisco,94134,San Francisco,(415) 355-2848
West Portal Branch Library,San Francisco Public Library,37.74138,-122.46621,190 Lenox Way,San Francisco,94127,San Francisco,(415) 355-2886
Western Addition Branch Library,San Francisco Public Library,37.78408,-122.43748,1550 Scott St.,San Francisco,94115,San Francisco,(415) 355-5727
Northgate Pop-Up Library,San Rafael Public Library,38.00422,-122.5442,5800 Northgate Drive,San Rafael,94903,Marin,(415) 524-2694
Pickleweed Library,San Rafael Public Library,37.96805,-122.49776,50 Canal St.,San Rafael,94901,Marin,(415) 485-3483
San Rafael Public Library,San Rafael Public Library,37.97503,-122.53261,1100 E St.,San Rafael,94901,Marin,(415) 485-3323
Sausalito Public Library,Sausalito Public Library,37.85965,-122.48887,420 Litho St.,Sausalito,94965,Marin,(415) 289-4121
Dixon Library,Solano County Library,38.44685,-121.82205,230 N. 1St St.,Dixon,95620,Solano,(866) 572-7587
Fairfield Civic Center Library,Solano County Library,38.25205,-122.04814,1150 Kentucky St.,Fairfield,94533,Solano,(866) 572-7587
Fairfield Cordelia Library,Solano County Library,38.21808,-122.144,5050 Business Center Dr.,Fairfield,94534,Solano,(866) 572-7587
John F. Kennedy Library,Solano County Library,38.10169,-122.26069,505 Santa Clara St.,Vallejo,94590,Solano,(866) 572-7587
Rio Vista Library,Solano County Library,38.15616,-121.69251,44 S. Second St.,Rio Vista,94571,Solano,(866) 572-7587
Springstowne Library,Solano County Library,38.10409,-122.21827,1003 Oakwood Ave.,Vallejo,94591,Solano,(866) 572-7587
Suisun City Library,Solano County Library,38.24886,-122.01,601 Pintail Dr.,Suisun City,94585,Solano,(866) 572-7587
Vacaville Public Library - Cultural Center,Solano County Library,38.35566,-121.96246,1020 Ulatis Dr.,Vacaville,95687,Solano,(866) 572-7587
Vacaville Public Library - Town Square,Solano County Library,38.35738,-121.98726,1 Town Square Place,Vacaville,95688,Solano,(866) 572-7587
Central Santa Rosa Library,Sonoma County Library,38.44122,-122.71062,211 E Street,Santa Rosa,95404,Sonoma,(707) 308-3020
Cloverdale Regional Library,Sonoma County Library,38.80871,-123.02002,401 N. Cloverdale Blvd.,Cloverdale,95425,Sonoma,(707) 894-5271
Forestville Community Library,Sonoma County Library,38.48158,-122.8893,7050 Covey Road,Forestville,95436,Sonoma,(707) 887-7654
Guerneville Regional Library,Sonoma County Library,38.50379,-122.99732,14107 Armstrong Woods Road,Guerneville,95446,Sonoma,(707) 869-9004
Healdsburg Regional Library,Sonoma County Library,38.61444,-122.8699,139 Piper Street,Healdsburg,95448,Sonoma,(707) 433-3772
Northwest Santa Rosa Library,Sonoma County Library,38.45915,-122.73093,150 Coddingtown Center,Santa Rosa,95401,Sonoma,(707) 546-2265
Occidental Community Library,Sonoma County Library,38.40622,-122.94739,73 Main Street,Occidental,95465,Sonoma,(707) 874-3080
Petaluma Regional Library,Sonoma County Library,38.24232,-122.63172,100 Fairgrounds Drive,Petaluma,94952,Sonoma,(707) 763-9801
Rincon Valley Regional Library,Sonoma County Library,38.47904,-122.66121,6959 Montecito Blvd,Santa Rosa,95409,Sonoma,(707) 537-0162
Rohnert Park-Cotati Regional Library,Sonoma County Library,38.34885,-122.70365,6250 Lynne Conde Way,Rohnert Park,94928,Sonoma,(707) 584-9121
Roseland Regional Library,Sonoma County Library,38.43034,-122.72955,470 Sebastopol Road,Santa Rosa,95407,Sonoma,(707) 755-2029
Sebastopol Regional Library,Sonoma County Library,38.40207,-122.82559,7140 Bodega Avenue,Sebastopol,95472,Sonoma,(707) 823-7691
Sonoma County History & Genealogy,Sonoma County Library,38.44127,-122.71063,725 3Rd Street,Santa Rosa,95404,Sonoma,(707) 308-3212
Sonoma Valley Regional Library,Sonoma County Library,38.29296,-122.47282,755 West Napa Street,Sonoma,95476,Sonoma,(707) 996-5217
Windsor Regional Library,Sonoma County Library,38.54947,-122.81405,"9291 Old Redwood Hwy, Bldg. 100",Windsor,95492,Sonoma,(707) 838-1020
St. Helena Public Library,St. Helena Public Library,38.50785,-122.46961,1492 Library Lane,St. Helena,94574,Napa,(707) 963-5244
