name,library_system,latitude,longitude,address,city,zip_code,county,phone
Blanchard Community Library,Blanchard/Santa Paula Public Library District,34.35382,-119.06408,119 N. Eighth St.,Santa Paula,93060,Ventura,(805) 525-3615
Camarillo Public Library,Camarillo Public Library,34.24317,-119.0139,4101 Las Posas Rd,Camarillo,93010,Ventura,(805) 388-5222
Carpinteria Community Library,Carpinteria Community Library,34.39744,-119.51704,5141 Carpinteria Ave.,Carpinteria,93013,Santa Barbara,(805) 684-4314
Buellton Library,Goleta Valley Library,34.6141,-120.19623,140 W. Hwy 246,Buellton,93427,Santa Barbara,(805) 688-3115
Goleta Valley Library,Goleta Valley Library,34.4476,-119.83012,500 N. Fairview Ave.,Goleta,93117,Santa Barbara,(805) 964-7878
Solvang Library,Goleta Valley Library,34.59651,-120.13611,1745 Mission Drive,Solvang,93463,Santa Barbara,(805) 688-4214
Big Pine Branch Library,Inyo County Free Library,37.16169,-118.28898,500 S. Main St.,Big Pine,93513,Inyo,(760) 938-2420
Bishop Branch Library,Inyo County Free Library,37.36296,-118.39646,210 Academy Ave.,Bishop,93514,Inyo,(760) 873-5115
Furnace Creek Branch Library,Inyo County Free Library,36.5029,-116.87098,"201 Nevares Road, Cow Creek Road",Death Valley,92328,Inyo,(760) 786-2408
Inyo County Free Library,Inyo County Free Library,36.80357,-118.19962,168 N. Edwards St.,Independence,93526,Inyo,(760) 878-0260
Lone Pine Branch Library,Inyo County Free Library,36.60629,-118.06432,127 Bush Street,Lone Pine,93545,Inyo,(760) 876-5031
Tecopa Branch Library,Inyo County Free Library,35.87135,-116.23271,408 Tecopa Hot Springs Road,Tecopa,92389,Inyo,(760) 852-4171
Arvin Branch Library,Kern County Library,35.21035,-118.8337,201 Campus Drive,Arvin,93203,Kern,(661) 854-5934
Baker Branch Library,Kern County Library,35.38347,-118.99084,1400 Baker Street,Bakersfield,93305,Kern,(661) 861-2390
Boron Branch Library,Kern County Library,34.99983,-117.65076,26967 Twenty Mule Team Road,Boron,93516,Kern,(760) 762-5606
Buttonwillow Branch Library,Kern County Library,35.40065,-119.46993,101 Main St,Buttonwillow,93206,Kern,(661) 764-5337
California City Branch Library,Kern County Library,35.12648,-117.95835,9507 California City Blvd.,California City,93505,Kern,(760) 373-4757
Delano Branch Library,Kern County Library,35.76947,-119.24465,925 Tenth Avenue,Delano,93215,Kern,(661) 725-1078
