name,library_system,latitude,longitude,address,city,zip_code,county,phone
Del Norte County Library District,Del Norte County Library District,41.75575,-124.20259,190 Price Mall,Crescent City,95531,Del Norte,(707) 464-9793
Smith River Branch,Del Norte County Library District,41.92632,-124.14821,241 First St.,Smith River,95567,Del Norte,(707) 464-7072
Arcata Library,Humboldt County Library,40.86772,-124.08411,500 Seventh St.,Arcata,95521,Humboldt,(707) 822-5954
Blue Lake Library,Humboldt County Library,40.88254,-123.99199,111 Greenwood Ave.,Blue Lake,95525,Humboldt,(707) 668-4207
Eureka Main Library,Humboldt County Library,40.80594,-124.15731,1313 Third St.,Eureka,95501,Humboldt,(707) 269-1929
Ferndale Library,Humboldt County Library,40.57988,-124.26119,807 Main Street,Ferndale,95536,Humboldt,(707) 786-9559
Fortuna Library,Humboldt County Library,40.59873,-124.15214,775 14Th St.,Fortuna,95540,Humboldt,(707) 725-3460
Garberville Library,Humboldt County Library,40.10235,-123.79211,715 Cedar St.,Garberville,95542,Humboldt,(707) 923-2230
Kim Yerton Memorial Library,Humboldt County Library,41.05005,-123.67829,Loop Road,Hoopa,95546,Humboldt,(530) 625-5082
Mckinleyville Library,Humboldt County Library,40.94419,-124.09981,1606 Pickett Rd.,Mckinleyville,95519,Humboldt,(707) 839-4459
Rio Dell Library,Humboldt County Library,40.50003,-124.10659,715 Wildwood Ave.,Rio Dell,95562,Humboldt,(707) 764-3333
Trinidad Branch Library,Humboldt County Library,41.06203,-124.14118,380 Janis Ct.,Trinidad,95570,Humboldt,(707) 677-0227
Willow Creek (Klamath-Trinity) Library,Humboldt County Library,40.93998,-123.63093,39 Mayfair St,Willow Creek,95573,Humboldt,(530) 629-2146
Ukiah Branch Library,Mendocino County Library,39.1502,-123.2066,105 N. Main St.,Ukiah,95482,Mendocino,(707) 463-4490
Fort Bragg Branch Library,Mendocino County Library,39.4457,-123.80113,499 Laurel St.,Ft Bragg,95437,Mendocino,(707) 964-2020
Willits Branch Library,Mendocino County Library,39.41291,-123.3466,390 E. Commercial St.,Willits,95490,Mendocino,(707) 459-5908
Coast Community Library,Mendocino County Library,38.90942,-123.69198,225 Main St.,Point Arena,95468,Mendocino,(707) 882-3114
Round Valley Public Library,Mendocino County Library,39.79399,-123.2498,23925 Howard Street,Covelo,95428,Mendocino,(707) 983-6736
Adin Station Library,Modoc County Library,41.19248,-120.94409,609 South Main,Adin,96006,Modoc,(530) 299-3502
Cedarville Library,Modoc County Library,41.52906,-120.17328,460 Main St.,Cedarville,96104,Modoc,(530) 279-2614
Lookout Library,Modoc County Library,41.20819,-121.15018,166 Main Street,Lookout,96054,Modoc,(530) 294-5776
Modoc County Library,Modoc County Library,41.48636,-120.54429,212 W. Third St.,Alturas,96101,Modoc,(530) 233-6326
Orland Free Library,Orland Free Library,39.74489,-122.19363,333 Mill St.,Orland,95963,Glenn,(530) 865-1640
Anderson Library,Shasta Public Libraries,40.45147,-122.30392,3200 W. Center St.,Anderson,96007,Shasta,(530) 365-7685
Burney Library,Shasta Public Libraries,40.88469,-121.66987,37038 Siskiyou St.,Burney,96013,Shasta,(530) 335-4317
Redding Library,Shasta Public Libraries,40.57377,-122.38528,1100 Parkview Avenue,Redding,96001,Shasta,(530) 245-7250
Dunsmuir Branch Library,Siskiyou County Free Library,41.21172,-122.27143,5714 Dunsmuir Ave.,Dunsmuir,96025,Siskiyou,(530) 235-2035
Etna Branch Library,Siskiyou County Free Library,41.45698,-122.89304,101 Collier Way,Etna,96027,Siskiyou,(530) 467-3400
Fort Jones Branch Library,Siskiyou County Free Library,41.60698,-122.83961,11960 East St.,Fort Jones,96032,Siskiyou,(530) 468-2383
Mccloud Branch Library,Siskiyou County Free Library,41.25578,-122.13189,300 Columbero Dr.,Mccloud,96057,Siskiyou,(530) 964-2169
Montague Branch Library,Siskiyou County Free Library,41.72775,-122.53199,230 S 13Th St.,Montague,96064,Siskiyou,(530) 459-5473
Mt. Shasta Branch Library,Siskiyou County Free Library,41.31814,-122.30983,515 Alma St.,Mt. Shasta,96067,Siskiyou,(530) 926-2031
Siskiyou County Free Library Yreka,Siskiyou County Free Library,41.72667,-122.6397,719 Fourth St.,Yreka,96097,Siskiyou,(530) 841-4175
Tulelake Branch Library,Siskiyou County Free Library,41.95549,-121.47702,451 Main Street,Tulelake,96134,Siskiyou,(530) 667-2291
Weed Branch Library,Siskiyou County Free Library,41.42708,-122.38552,150 Alamo Ave,Weed,96094,Siskiyou,(530) 938-4769
Corning Branch Library,Tehama County Library,39.92871,-122.17991,740 Third St.,Corning,96021,Tehama,(530) 824-7050
Los Molinos Branch Library,Tehama County Library,40.02127,-122.10027,7881 Highway 99E,Los Molinos,96055,Tehama,(530) 384-2772
Tehama County Library,Tehama County Library,40.16329,-122.22688,545 Diamond Ave.,Red Bluff,96080,Tehama,(530) 527-0604
Hayfork Branch Library,Trinity County Free Library,40.55283,-123.19127,6641 A State Hwy. 3,Hayfork,96041,Trinity,(530) 628-5427
Trinity Center Branch Library,Trinity County Free Library,40.9864,-122.70171,"Scott Museum, Airport Rd.",Trinity Center,96091,Trinity,(530) 266-3242
Trinity County Free Library,Trinity County Free Library,40.73548,-122.94239,351 Main St.,Weaverville,96093,Trinity,(530) 623-1373
Bayliss Branch Library,Willows Public Library,39.58279,-122.04674,7830 Road 39,Glenn,95943,Glenn,(916) 934-2287
Elk Creek Branch Library,Willows Public Library,39.60709,-122.53888,3432 County Road 309,Elk Creek,95939,Glenn,(916) 968-5238
Willows Public Library,Willows Public Library,39.52188,-122.20006,201 N. Lassen St.,Willows,95988,Glenn,(530) 934-5156
