name,library_system,latitude,longitude,address,city,zip_code,county,phone
Coalinga Library,Coalinga-Huron Library District,36.14141,-120.36094,305 N. 4Th St.,Coalinga,93210,Fresno,(559) 935-1058
Huron Branch Library,Coalinga-Huron Library District,36.21002,-120.09951,36050 O St.,Huron,93234,Fresno,(559) 945-2284
Auberry Branch Library,Fresno County Public Library,37.07471,-119.48785,33049 Auberry Road,Auberry,93602,Fresno,(559) 855-8523
Bear Mountain Branch Library,Fresno County Public Library,36.73842,-119.25071,30733 E. Kings Canyon Road,Squaw Valley,93675,Fresno,(559) 332-2528
Betty Rodriguez Regional Library,Fresno County Public Library,36.77826,-119.75374,3040 N Cedar Ave,Fresno,93703,Fresno,(559) 600-9245
Big Creek Station,Fresno County Public Library,37.20481,-119.24712,51190 Point Road,Big Creek,93605,Fresno,(559) 893-6614
Biola Station,Fresno County Public Library,36.80497,-120.01755,4885 N. Biola Ave,Biola,93723,Fresno,(559) 843-2001
Caruthers Branch Library,Fresno County Public Library,36.54212,-119.83139,13382 South Henderson Rd.,Caruthers,93609,Fresno,(559) 864-8766
Central Library,Fresno County Public Library,36.7379,-119.78649,2420 Mariposa St.,Fresno,93721,Fresno,(559) 600-7323
Clovis Regional Library,Fresno County Public Library,36.82431,-119.69479,1155 Fifth St.,Clovis,93612,Fresno,(559) 600-9531
Easton Branch Library,Fresno County Public Library,36.65224,-119.79036,25 E. Fantz Ave.,Easton,93706,Fresno,(559) 237-3929
Fig Garden Regional Library,Fresno County Public Library,36.82238,-119.84643,3071 W. Bullard,Fresno,93711,Fresno,(559) 600-4071
Firebaugh Branch Library,Fresno County Public Library,36.85686,-120.45395,1315 O St.,Firebaugh,93622,Fresno,(559) 600-9274
Fowler Branch Library,Fresno County Public Library,36.62743,-119.67776,306 S. 7Th St.,Fowler,93625,Fresno,(559) 600-3114
Gillis Branch Library,Fresno County Public Library,36.78631,-119.819,629 W. Dakota,Fresno,93705,Fresno,(559) 225-0140
Kerman Branch Library,Fresno County Public Library,36.7274,-120.06133,15081 W. Kearney Plaza,Kerman,93630,Fresno,(559) 846-8804
Kingsburg Branch Library,Fresno County Public Library,36.51481,-119.55325,1399 Draper,Kingsburg,93631,Fresno,(559) 897-3710
Laton Station,Fresno County Public Library,36.43458,-119.68475,6313 Dewoody St.,Laton,93242,Fresno,(559) 923-4554
Literacy Services Center,Fresno County Public Library,36.7379,-119.78649,2420 Mariposa Street,Fresno,93721,Fresno,(559) 600-9240
Mendota Branch Library,Fresno County Public Library,36.74876,-120.38471,1246 Belmont Avenue,Mendota,93640,Fresno,(559) 600-9291
Mosqueda Branch Library,Fresno County Public Library,36.72811,-119.74256,4670 E. Butler,Fresno,93702,Fresno,(559) 600-4072
