name,library_system,latitude,longitude,address,city,zip_code,county,phone
Alhambra Public Library,Alhambra Civic Center Library,34.09307,-118.12754,101 S. First St.,Alhambra,91801,Los Angeles,(626) 570-5008
Altadena Library District,Altadena Library District,34.18916,-118.13718,600 E. Mariposa St.,Altadena,91001,Los Angeles,(626) 798-0833
Bob Lucas Memorial Library and Literacy Center,Altadena Library District,34.19132,-118.15896,2659 N. Lincoln Ave.,Altadena,91001,Los Angeles,(626) 798-8338
Beverly Hills Public Library,Beverly Hills Public Library,34.07305,-118.39938,444 N. Rexford Dr.,Beverly Hills,90210,Los Angeles,(310) 288-2220
Roxbury Book Nook,Beverly Hills Public Library,34.05857,-118.40614,401 S. Roxbury Dr.,Beverly Hills,90212,Los Angeles,(310) 285-6849
Buena Vista Branch,Burbank Public Library,34.16413,-118.33021,300 N. Buena Vista Street,Burbank,91505,Los Angeles,(818) 238-5620
Burbank Public Library,Burbank Public Library,34.18382,-118.30647,110 N. Glenoaks Blvd.,Burbank,91502,Los Angeles,(818) 238-5551
Northwest Branch,Burbank Public Library,34.18509,-118.34752,3323 W. Victory Blvd.,Burbank,91505,Los Angeles,(818) 238-5640
Calabasas City Library,Calabasas City Library,34.15259,-118.64658,200 Civic Center Way,Calabasas,91302,Los Angeles,(818) 225-7616
Crowell Public Library,Crowell Public Library,34.11901,-118.11269,1890 Huntington Dr.,San Marino,91108,Los Angeles,(626) 300-0777
Center Street School Branch Library,El Segundo Public Library,33.92473,-118.40461,700 Center St.,El Segundo,90245,Los Angeles,(310) 615-2680
El Segundo Public Library,El Segundo Public Library,33.92392,-118.41678,111 W. Mariposa Ave.,El Segundo,90245,Los Angeles,(310) 524-2722
High School Branch Library,El Segundo Public Library,33.92487,-118.41538,640 Main St.,El Segundo,90245,Los Angeles,(310) 615-2662
Middle School Branch Library,El Segundo Public Library,33.9202,-118.40464,332 Center Street,El Segundo,90245,Los Angeles,(310) 615-2685
Richmond Street Elementary School Library,El Segundo Public Library,33.92435,-118.41746,615 Richmond St.,El Segundo,90245,Los Angeles,(310) 606-6831
Brand Library,Glendale Public Library,34.18264,-118.27644,1601 W. Mountain St.,Glendale,91201,Los Angeles,(818) 548-2051
Casa Verdugo Branch Library,Glendale Public Library,34.16326,-118.25545,1151 N. Brand Blvd.,Glendale,91202,Los Angeles,(818) 548-2047
Chevy Chase Branch Library,Glendale Public Library,34.17382,-118.20007,3301 E. Chevy Chase Dr.,Glendale,91206,Los Angeles,(818) 548-2046
"Glendale Library, Arts & Culture",Glendale Public Library,34.14399,-118.25359,222 E. Harvard St.,Glendale,91205,Los Angeles,(818) 548-2021
Grandview Branch Library,Glendale Public Library,34.17041,-118.28551,1535 Fifth St.,Glendale,91201,Los Angeles,(818) 548-2049
Library Connection @ Adams Square,Glendale Public Library,34.13365,-118.2415,1100 East Chevy Chase Drive,Glendale,91205,Los Angeles,(818) 548-3833
Montrose Branch Library,Glendale Public Library,34.2075,-118.2327,2465 Honolulu Ave.,Montrose,91020,Los Angeles,(818) 548-2048
Pacific Park Branch Library,Glendale Public Library,34.13924,-118.26475,501 South Pacific Avenue,Glendale,91204,Los Angeles,(818) 548-3760
Crenshaw-Imperial Library,Inglewood Public Library,33.93367,-118.32679,11141 Crenshaw Blvd,Inglewood,90303,Los Angeles,(310) 412-5403
Inglewood Public Library,Inglewood Public Library,33.96227,-118.3556,101 W. Manchester Blvd.,Inglewood,90301,Los Angeles,(310) 412-5380
A C Bilbrew Library,LA County Library,33.91608,-118.2723,150 East El Segundo Blvd.,Los Angeles,90061,Los Angeles,(310) 538-3350
Acton Agua Dulce,LA County Library,34.49503,-118.19742,33792 Crown Valley Rd.,Acton,93510,Los Angeles,(661) 269-7101
Agoura Hills Library,LA County Library,34.14458,-118.77568,29901 Ladyface Court,Agoura Hills,91301,Los Angeles,(818) 889-2278
Alondra Library,LA County Library,33.88791,-118.0785,11949 Alondra Blvd.,Norwalk,90650,Los Angeles,(562) 868-7771
Angelo M. Iacoboni Library,LA County Library,33.84869,-118.13339,4990 Clark Ave.,Lakewood,90712,Los Angeles,(562) 866-1777
Anthony Quinn Library,LA County Library,34.04074,-118.18021,3965 Cesar E. Chavez Ave.,Los Angeles,90063,Los Angeles,(323) 264-7715
Artesia Library,LA County Library,33.86038,-118.07718,18801 Elaine Ave.,Artesia,90701,Los Angeles,(562) 865-6614
Avalon Library,LA County Library,33.34311,-118.32717,215 Sumner Ave.,Avalon,90704,Los Angeles,(310) 510-1050
Baldwin Park Library,LA County Library,34.08801,-117.96526,4181 Baldwin Park Blvd.,Baldwin Park,91706,Los Angeles,(626) 962-6947
Bell Gardens Library,LA County Library,33.96666,-118.15053,7110 S. Garfield Ave.,Bell Gardens,90201,Los Angeles,(562) 927-1309
Bell Library,LA County Library,33.97839,-118.18857,4411 East Gage Ave.,Bell,90201,Los Angeles,(323) 560-2149
Carson Library,LA County Library,33.83217,-118.27632,151 East Carson St.,Carson,90745,Los Angeles,(310) 830-0901
Castaic Library,LA County Library,34.49578,-118.62687,27971 Sloan Canyon Road,Castaic,91384,Los Angeles,(661) 257-7410
Charter Oak Library,LA County Library,34.10604,-117.85363,"20540 E. Arrow Hwy., Suite K",Covina,91724,Los Angeles,(626) 339-2151
Chet Holifield Library,LA County Library,33.99329,-118.12009,1060 South Greenwood Ave.,Montebello,90640,Los Angeles,(323) 728-0421
City Terrace Library,LA County Library,34.05598,-118.17808,4025 East City Terrace Dr.,Los Angeles,90063,Los Angeles,(323) 261-0295
Claremont Helen Renwick Library,LA County Library,34.09589,-117.71603,208 North Harvard Ave.,Claremont,91711,Los Angeles,(909) 621-4902
Clifton M. Brakensiek Library,LA County Library,33.88245,-118.1215,9945 E. Flower St.,Bellflower,90706,Los Angeles,(562) 925-5543
Compton Library,LA County Library,33.89544,-118.22571,240 West Compton Blvd.,Compton,90220,Los Angeles,(310) 637-0202
Cudahy Library,LA County Library,33.9594,-118.1746,5218 Santa Ana St.,Cudahy,90201,Los Angeles,(323) 771-1345
Culver City Julian Dixon Library,LA County Library,34.00762,-118.39707,4975 Overland Ave.,Culver City,90230,Los Angeles,(310) 559-1676
Diamond Bar Library,LA County Library,33.99907,-117.83071,21800 Copley Dr.,Diamond Bar,91765,Los Angeles,(909) 861-4978
"Dr. Martin Luther King, Jr. Library",LA County Library,33.86766,-118.26568,17906 South Avalon Blvd.,Carson,90746,Los Angeles,(310) 327-4830
Duarte Library,LA County Library,34.13811,-117.97789,1301 Buena Vista St.,Duarte,91010,Los Angeles,(626) 358-1865
East Los Angeles Library,LA County Library,34.03399,-118.15972,4837 East Third St.,Los Angeles,90022,Los Angeles,(323) 264-0155
East Rancho Dominguez Library,LA County Library,33.89637,-118.19761,4205 East Compton Blvd.,East Rancho Domingue,90221,Los Angeles,(310) 632-6193
El Camino Real Library,LA County Library,34.02369,-118.17777,4264 East Whittier Blvd.,Los Angeles,90023,Los Angeles,(323) 269-8102
El Monte Library,LA County Library,34.0671,-118.03572,3224 Tyler Ave.,El Monte,91731,Los Angeles,(626) 444-9506
Florence Library,LA County Library,33.9745,-118.24512,1610 East Florence Ave.,Los Angeles,90001,Los Angeles,(323) 581-8028
